filepath,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
image151.jpg,114.0,10.0,545.0,21.0,545.0,449.0,105.0,452.0
image61.jpg,41.0,43.0,509.0,48.0,518.0,442.0,30.0,449.0
image29.jpg,96.0,40.0,572.0,44.0,587.0,451.0,92.0,463.0
image81.jpg,21.0,1.0,521.0,3.0,528.0,418.0,29.0,436.0
image1043.jpg,117.0,98.0,825.0,90.0,828.0,776.0,151.0,786.0
image115.jpg,28.0,88.0,485.0,84.0,488.0,463.0,29.0,464.0
image170.jpg,67.0,10.0,511.0,16.0,506.0,453.0,66.0,456.0
image27.jpg,95.0,50.0,569.0,49.0,585.0,451.0,91.0,467.0
image42.jpg,83.0,11.0,580.0,11.0,592.0,430.0,85.0,436.0
image181.jpg,19.0,53.0,512.0,52.0,507.0,461.0,16.0,469.0
image33.jpg,134.0,54.0,590.0,56.0,605.0,447.0,124.0,455.0
image177.jpg,140.0,49.0,559.0,52.0,540.0,463.0,143.0,444.0
image189.jpg,92.0,12.0,531.0,25.0,532.0,454.0,90.0,460.0
image194.jpg,28.0,6.0,552.0,4.0,560.0,441.0,39.0,459.0
image43.jpg,102.0,7.0,601.0,10.0,612.0,440.0,106.0,451.0
image153.jpg,124.0,12.0,547.0,24.0,547.0,446.0,112.0,444.0
image143.jpg,85.0,11.0,535.0,12.0,546.0,456.0,90.0,470.0
image47.jpg,115.0,15.0,535.0,24.0,535.0,443.0,108.0,440.0
image95.jpg,18.0,27.0,447.0,36.0,448.0,459.0,16.0,465.0
image150.jpg,104.0,16.0,537.0,20.0,544.0,450.0,105.0,459.0
image58.jpg,36.0,40.0,513.0,44.0,521.0,451.0,22.0,455.0
image156.jpg,93.0,2.0,542.0,8.0,544.0,455.0,88.0,458.0
image134.jpg,20.0,32.0,508.0,27.0,521.0,442.0,16.0,455.0
image35.jpg,97.0,30.0,600.0,28.0,616.0,457.0,105.0,472.0
image24.jpg,22.0,41.0,507.0,38.0,516.0,451.0,14.0,462.0
image26.jpg,123.0,9.0,561.0,4.0,577.0,459.0,125.0,468.0
image39.jpg,108.0,24.0,606.0,17.0,621.0,435.0,110.0,443.0
image112.jpg,62.0,14.0,577.0,15.0,581.0,448.0,58.0,456.0
image1050.jpg,56.0,56.0,730.0,43.0,744.0,730.0,32.0,721.0
image99.jpg,52.0,7.0,462.0,9.0,457.0,438.0,44.0,429.0
image167.jpg,90.0,5.0,535.0,12.0,532.0,454.0,81.0,453.0
image180.jpg,8.0,4.0,399.0,7.0,391.0,406.0,4.0,405.0
image126.jpg,22.0,10.0,418.0,0.0,427.0,413.0,17.0,423.0
image77.jpg,80.0,25.0,582.0,33.0,600.0,465.0,65.0,472.0
image160.jpg,93.0,4.0,545.0,7.0,547.0,461.0,86.0,464.0
image122.jpg,15.0,10.0,470.0,10.0,476.0,387.0,25.0,404.0
image176.jpg,124.0,13.0,562.0,19.0,567.0,467.0,121.0,470.0
image74.jpg,96.0,12.0,537.0,6.0,556.0,467.0,101.0,472.0
image41.jpg,92.0,14.0,588.0,16.0,603.0,445.0,98.0,456.0
image186.jpg,27.0,20.0,549.0,18.0,545.0,454.0,40.0,459.0
image56.jpg,25.0,12.0,403.0,3.0,414.0,401.0,16.0,408.0
image174.jpg,51.0,22.0,486.0,22.0,491.0,454.0,51.0,463.0
image25.jpg,145.0,4.0,586.0,16.0,590.0,479.0,136.0,479.0
image1055.jpg,104.0,130.0,803.0,135.0,824.0,820.0,94.0,819.0
image117.jpg,42.0,78.0,476.0,82.0,481.0,455.0,33.0,459.0
image46.jpg,126.0,3.0,572.0,10.0,574.0,452.0,127.0,454.0
image31.jpg,116.0,38.0,585.0,44.0,601.0,440.0,110.0,446.0
image114.jpg,28.0,54.0,491.0,54.0,498.0,450.0,24.0,459.0
image65.jpg,34.0,26.0,506.0,27.0,517.0,427.0,26.0,437.0
image2.jpg,37.0,17.0,569.0,16.0,574.0,465.0,30.0,473.0
image147.jpg,92.0,9.0,535.0,20.0,535.0,454.0,92.0,460.0
image94.jpg,20.0,35.0,442.0,38.0,450.0,457.0,24.0,467.0
image84.jpg,91.0,3.0,535.0,14.0,534.0,454.0,89.0,459.0
image164.jpg,82.0,17.0,525.0,16.0,536.0,459.0,80.0,469.0
image23.jpg,138.0,0.0,579.0,10.0,584.0,468.0,131.0,465.0
image120.jpg,24.0,14.0,482.0,16.0,483.0,397.0,31.0,409.0
image97.jpg,22.0,24.0,452.0,27.0,457.0,454.0,26.0,463.0
image96.jpg,17.0,32.0,441.0,35.0,449.0,455.0,21.0,466.0
image154.jpg,133.0,28.0,548.0,36.0,551.0,451.0,122.0,449.0
image21.jpg,140.0,2.0,576.0,11.0,577.0,463.0,134.0,463.0
image185.jpg,31.0,25.0,550.0,23.0,546.0,460.0,44.0,462.0
image90.jpg,83.0,1.0,519.0,3.0,534.0,463.0,76.0,457.0
image72.jpg,92.0,6.0,544.0,15.0,544.0,461.0,88.0,469.0
image179.jpg,25.0,15.0,432.0,23.0,425.0,436.0,23.0,433.0
image37.jpg,119.0,19.0,613.0,24.0,621.0,443.0,117.0,445.0
image129.jpg,25.0,10.0,404.0,1.0,415.0,400.0,14.0,407.0
image193.jpg,22.0,11.0,544.0,12.0,548.0,447.0,28.0,462.0
image79.jpg,11.0,7.0,512.0,5.0,521.0,422.0,18.0,442.0
image1072.jpg,115.0,308.0,811.0,304.0,839.0,1014.0,98.0,1021.0
image1080.jpg,73.0,270.0,871.0,262.0,886.0,1076.0,56.0,1085.0
image113.jpg,25.0,62.0,483.0,58.0,493.0,447.0,25.0,461.0
image104.jpg,30.0,82.0,457.0,82.0,457.0,440.0,30.0,443.0
image1008.jpg,100.0,323.0,878.0,310.0,880.0,1084.0,130.0,1066.0
image1038.jpg,245.0,36.0,1114.0,31.0,1122.0,901.0,248.0,920.0
image1003.jpg,42.0,359.0,876.0,346.0,883.0,1131.0,53.0,1140.0
image1070.jpg,141.0,328.0,780.0,325.0,804.0,978.0,128.0,994.0
image182.jpg,35.0,50.0,522.0,47.0,516.0,454.0,29.0,461.0
image107.jpg,38.0,97.0,455.0,96.0,459.0,445.0,40.0,450.0
image1078.jpg,117.0,308.0,790.0,294.0,807.0,982.0,102.0,991.0
image1006.jpg,106.0,159.0,835.0,160.0,856.0,889.0,94.0,893.0
image1007.jpg,102.0,167.0,843.0,147.0,894.0,896.0,89.0,914.0
image82.jpg,44.0,52.0,512.0,54.0,505.0,440.0,50.0,444.0
image1039.jpg,87.0,62.0,943.0,57.0,919.0,913.0,74.0,912.0
image106.jpg,34.0,98.0,457.0,96.0,457.0,450.0,35.0,454.0
image1024.jpg,166.0,101.0,918.0,86.0,905.0,841.0,173.0,849.0
image1040.jpg,180.0,4.0,974.0,21.0,981.0,810.0,183.0,803.0
image1041.jpg,197.0,52.0,1013.0,80.0,979.0,873.0,194.0,860.0
image1004.jpg,87.0,362.0,872.0,367.0,887.0,1149.0,74.0,1176.0
image1045.jpg,84.0,342.0,632.0,340.0,654.0,891.0,84.0,902.0
image1031.jpg,135.0,102.0,865.0,135.0,879.0,858.0,135.0,849.0
image105.jpg,24.0,94.0,448.0,98.0,449.0,454.0,23.0,454.0
image1000.jpg,22.0,151.0,927.0,123.0,939.0,1154.0,1.0,1114.0
image1083.jpg,67.0,219.0,875.0,185.0,876.0,1009.0,90.0,1007.0
image209.jpg,135.0,43.0,520.0,50.0,517.0,438.0,120.0,438.0
image1086.jpg,98.0,220.0,915.0,218.0,923.0,1040.0,87.0,1061.0
image1020.jpg,99.0,279.0,929.0,261.0,922.0,1169.0,82.0,1181.0
image1076.jpg,146.0,263.0,845.0,254.0,873.0,1019.0,146.0,1020.0
image1077.jpg,49.0,239.0,913.0,231.0,933.0,1096.0,50.0,1128.0
image36.jpg,119.0,3.0,617.0,8.0,626.0,424.0,116.0,424.0
image76.jpg,105.0,1.0,541.0,7.0,545.0,436.0,103.0,441.0
image208.jpg,104.0,53.0,519.0,43.0,518.0,431.0,112.0,438.0
image1075.jpg,112.0,294.0,856.0,282.0,901.0,1044.0,103.0,1067.0
image1073.jpg,142.0,300.0,791.0,290.0,807.0,990.0,126.0,998.0
image1067.jpg,71.0,159.0,711.0,138.0,726.0,767.0,93.0,776.0
image206.jpg,127.0,49.0,567.0,46.0,565.0,453.0,124.0,460.0
image1087.jpg,112.0,202.0,838.0,202.0,887.0,921.0,100.0,937.0
image1088.jpg,50.0,267.0,875.0,261.0,894.0,1104.0,35.0,1114.0
image71.jpg,48.0,13.0,501.0,19.0,502.0,461.0,47.0,472.0
image10.jpg,95.0,60.0,556.0,67.0,567.0,458.0,97.0,466.0
image196.jpg,25.0,6.0,499.0,4.0,508.0,474.0,25.0,478.0
image9.jpg,53.0,37.0,556.0,41.0,551.0,462.0,47.0,464.0
image203.jpg,102.0,73.0,478.0,67.0,487.0,444.0,97.0,448.0
image87.jpg,15.0,10.0,444.0,4.0,442.0,444.0,20.0,440.0
image1059.jpg,91.0,383.0,611.0,383.0,625.0,946.0,93.0,947.0
image34.jpg,92.0,5.0,603.0,2.0,618.0,421.0,106.0,440.0
image17.jpg,127.0,2.0,545.0,8.0,556.0,441.0,123.0,449.0
image211.jpg,93.0,13.0,501.0,8.0,517.0,416.0,96.0,425.0
image1014.jpg,140.0,135.0,1202.0,191.0,1213.0,1238.0,149.0,1240.0
image178.jpg,204.0,20.0,611.0,25.0,617.0,436.0,207.0,442.0
image70.jpg,22.0,1.0,501.0,5.0,507.0,472.0,24.0,478.0
image205.jpg,92.0,38.0,497.0,42.0,490.0,440.0,92.0,438.0
image1081.jpg,87.0,258.0,828.0,251.0,841.0,1049.0,85.0,1059.0
image1001.jpg,65.0,294.0,923.0,272.0,950.0,1246.0,63.0,1213.0
image1048.jpg,63.0,120.0,759.0,107.0,779.0,864.0,60.0,868.0
image1066.jpg,53.0,351.0,638.0,349.0,661.0,945.0,46.0,945.0
image204.jpg,125.0,69.0,499.0,63.0,509.0,445.0,120.0,446.0
image210.jpg,60.0,42.0,480.0,39.0,481.0,456.0,60.0,458.0
image202.jpg,85.0,26.0,492.0,34.0,480.0,423.0,87.0,428.0
image1022.jpg,92.0,307.0,817.0,289.0,831.0,1016.0,86.0,1028.0
image1049.jpg,58.0,285.0,722.0,283.0,720.0,938.0,51.0,943.0
image201.jpg,174.0,29.0,561.0,38.0,566.0,431.0,171.0,427.0
image1019.jpg,65.0,325.0,747.0,341.0,753.0,1057.0,75.0,1068.0
image195.jpg,44.0,9.0,502.0,15.0,499.0,462.0,42.0,466.0
image1062.jpg,154.0,276.0,816.0,265.0,836.0,991.0,149.0,1006.0
transformed0.jpg,92.0,2.0,618.0,2.0,92.0,440.0,618.0,440.0
transformed1.jpg,15.0,10.0,476.0,10.0,15.0,404.0,476.0,404.0
transformed2.jpg,147.58757908064598,174.78316111391766,412.78757908064597,174.78316111391766,147.58757908064598,438.78316111391763,412.78757908064597,438.78316111391763
transformed3.jpg,82.0,261.0,929.0,261.0,82.0,1181.0,929.0,1181.0
transformed4.jpg,132.0,20.0,571.0,20.0,132.0,473.0,571.0,473.0
transformed5.jpg,104.0,43.0,519.0,43.0,104.0,438.0,519.0,438.0
transformed6.jpg,101.47645356764477,106.44445524487101,350.47645356764474,106.44445524487101,101.47645356764477,363.84445524487097,350.47645356764474,363.84445524487097
transformed7.jpg,108.0,15.0,535.0,15.0,108.0,443.0,535.0,443.0
transformed8.jpg,71.24209230006021,136.46870450991958,372.4420923000602,136.46870450991958,71.24209230006021,390.2687045099196,372.4420923000602,390.2687045099196
transformed9.jpg,40.0,6.0,488.0,6.0,40.0,457.0,488.0,457.0
transformed10.jpg,201.00463118340934,164.32734101581846,492.00463118340934,164.32734101581846,201.00463118340934,450.5273410158185,492.00463118340934,450.5273410158185
transformed11.jpg,313.6424281304762,128.53182968121655,799.0424281304763,128.53182968121655,313.6424281304762,622.9318296812165,799.0424281304763,622.9318296812165
transformed12.jpg,22.0,24.0,457.0,24.0,22.0,463.0,457.0,463.0
transformed13.jpg,220.99052992419922,158.77401480451874,742.3905299241992,158.77401480451874,220.99052992419922,672.3740148045188,742.3905299241992,672.3740148045188
transformed14.jpg,42.0,346.0,883.0,346.0,42.0,1140.0,883.0,1140.0
transformed15.jpg,85.0,26.0,492.0,26.0,85.0,428.0,492.0,428.0
transformed16.jpg,216.7877555277009,159.737713594578,474.78775552770094,159.737713594578,216.7877555277009,418.937713594578,474.78775552770094,418.937713594578
transformed17.jpg,228.798027457054,154.97162021848683,501.19802745705397,154.97162021848683,228.798027457054,433.37162021848684,501.19802745705397,433.37162021848684
transformed18.jpg,75.60476421764524,152.65485054505265,348.00476421764523,152.65485054505265,75.60476421764524,431.05485054505266,348.00476421764523,431.05485054505266
transformed19.jpg,97.0,28.0,616.0,28.0,97.0,472.0,616.0,472.0
transformed20.jpg,44.0,52.0,512.0,52.0,44.0,444.0,512.0,444.0
transformed21.jpg,91.397791382435,82.11496567919099,339.797791382435,82.11496567919099,91.397791382435,338.914965679191,339.797791382435,338.914965679191
transformed22.jpg,15.0,5.0,409.0,5.0,15.0,407.0,409.0,407.0
transformed23.jpg,51.0,22.0,491.0,22.0,51.0,463.0,491.0,463.0
transformed24.jpg,130.51811508801168,95.44938785963097,386.1181150880117,95.44938785963097,130.51811508801168,311.449387859631,386.1181150880117,311.449387859631
transformed25.jpg,276.92075877826306,45.23484885918823,543.920758778263,45.23484885918823,276.92075877826306,312.83484885918824,543.920758778263,312.83484885918824
transformed26.jpg,296.92333397572776,127.87379782834248,569.3233339757278,127.87379782834248,296.92333397572776,397.2737978283425,569.3233339757278,397.2737978283425
transformed27.jpg,244.7605181053337,195.24245953641287,550.1605181053337,195.24245953641287,244.7605181053337,451.44245953641285,550.1605181053337,451.44245953641285
transformed28.jpg,44.0,347.0,891.0,347.0,44.0,1184.0,891.0,1184.0
transformed29.jpg,28.0,84.0,488.0,84.0,28.0,464.0,488.0,464.0
transformed30.jpg,32.0,89.0,478.0,89.0,32.0,462.0,478.0,462.0
transformed31.jpg,303.53594326398394,41.80463409580623,580.1359432639839,41.80463409580623,303.53594326398394,317.2046340958062,580.1359432639839,317.2046340958062
transformed32.jpg,193.09341239493304,167.42008366868941,487.69341239493303,167.42008366868941,193.09341239493304,414.0200836686894,487.69341239493303,414.0200836686894
transformed33.jpg,131.0,0.0,584.0,0.0,131.0,468.0,584.0,468.0
transformed34.jpg,32.0,24.0,543.0,24.0,32.0,463.0,543.0,463.0
transformed35.jpg,310.6686663151918,118.45555444795002,613.0686663151918,118.45555444795002,310.6686663151918,374.05555444795004,613.0686663151918,374.05555444795004
transformed36.jpg,168.23354064724808,159.15942801688016,479.6335406472481,159.15942801688016,168.23354064724808,422.55942801688013,479.6335406472481,422.55942801688013
transformed37.jpg,245.0,31.000000000000004,1122.0,31.000000000000004,245.0,920.0,1122.0,920.0
transformed38.jpg,105.0,35.0,600.0,35.0,105.0,444.0,600.0,444.0
transformed39.jpg,32.0,24.0,543.0,24.0,32.0,463.0,543.0,463.0
transformed40.jpg,51.0,283.0,722.0,283.0,51.0,943.0,722.0,943.0
transformed41.jpg,100.0,310.0,880.0,310.0,100.0,1084.0,880.0,1084.0
transformed42.jpg,128.0,325.0,804.0,325.0,128.0,994.0,804.0,994.0
transformed43.jpg,207.87088025224995,157.44475506746085,452.07088025224994,157.44475506746085,207.87088025224995,398.6447550674609,452.07088025224994,398.6447550674609
transformed44.jpg,250.57642417414792,87.99326049919969,553.5764241741479,87.99326049919969,250.57642417414792,345.99326049919966,553.5764241741479,345.99326049919966
transformed45.jpg,21.0,1.0,528.0,1.0,21.0,436.0,528.0,436.0
transformed46.jpg,63.0,272.0,950.0,272.0,63.0,1246.0,950.0,1246.0
transformed47.jpg,96.0,6.0,556.0,6.0,96.0,472.0,556.0,472.0
transformed48.jpg,120.0,63.0,509.0,63.0,120.0,446.0,509.0,446.0
transformed49.jpg,42.0,23.0,547.0,23.0,42.0,459.0,547.0,459.0
transformed50.jpg,122.0,27.0,579.0,27.0,122.0,478.0,579.0,478.0
transformed51.jpg,103.0,282.0,901.0,282.0,103.0,1067.0,901.0,1067.0
transformed52.jpg,310.6816323084492,481.72381897517886,703.6816323084491,481.72381897517886,310.6816323084492,864.5238189751788,703.6816323084491,864.5238189751788
transformed53.jpg,44.0,347.0,891.0,347.0,44.0,1184.0,891.0,1184.0
transformed54.jpg,99.0,8.0,553.0,8.0,99.0,457.0,553.0,457.0
transformed55.jpg,42.0,23.0,547.0,23.0,42.0,459.0,547.0,459.0
transformed56.jpg,16.505189155958668,142.09287631067633,254.7051891559587,142.09287631067633,16.505189155958668,383.89287631067634,254.7051891559587,383.89287631067634
transformed57.jpg,295.3373829207326,171.24930738095193,560.5373829207325,171.24930738095193,295.3373829207326,435.2493073809519,560.5373829207325,435.2493073809519
transformed58.jpg,188.65737466901015,157.9006036154886,455.6573746690101,157.9006036154886,188.65737466901015,425.50060361548856,455.6573746690101,425.50060361548856
transformed59.jpg,92.0,9.0,535.0,9.0,92.0,460.0,535.0,460.0
transformed60.jpg,277.90951164445505,406.3748075131556,680.5095116444551,406.3748075131556,277.90951164445505,802.3748075131555,680.5095116444551,802.3748075131555
transformed61.jpg,4.0,4.0,399.0,4.0,4.0,406.0,399.0,406.0
transformed62.jpg,158.75068062148569,344.2571842358384,626.7506806214857,344.2571842358384,158.75068062148569,808.6571842358385,626.7506806214857,808.6571842358385
transformed63.jpg,56.0,262.0,886.0,262.0,56.0,1085.0,886.0,1085.0
transformed64.jpg,22.0,37.0,517.0,37.0,22.0,452.0,517.0,452.0
transformed65.jpg,303.5652836653916,17.247131208765428,575.9652836653916,17.247131208765428,303.5652836653916,288.4471312087654,575.9652836653916,288.4471312087654
transformed66.jpg,97.0,67.0,487.0,67.0,97.0,448.0,487.0,448.0
transformed67.jpg,400.1109499533915,504.2320363184924,885.5109499533916,504.2320363184924,400.1109499533915,998.6320363184925,885.5109499533916,998.6320363184925
transformed68.jpg,92.0,38.0,497.0,38.0,92.0,440.0,497.0,440.0
transformed69.jpg,214.20308459988703,142.06462151225676,520.203084599887,142.06462151225676,214.20308459988703,404.2646215122568,520.203084599887,404.2646215122568
transformed70.jpg,111.97116812101282,89.29428301573803,428.7711681210128,89.29428301573803,111.97116812101282,356.89428301573804,428.7711681210128,356.89428301573804
transformed71.jpg,47.0,37.0,556.0,37.0,47.0,464.0,556.0,464.0
transformed72.jpg,117.0,59.0,983.0,59.0,117.0,928.0,983.0,928.0
transformed73.jpg,30.0,43.0,518.0,43.0,30.0,449.0,518.0,449.0
transformed74.jpg,308.6730615190935,50.700274983588045,613.4730615190934,50.700274983588045,308.6730615190935,300.900274983588,613.4730615190934,300.900274983588
transformed75.jpg,91.0,383.0,625.0,383.0,91.0,947.0,625.0,947.0
transformed76.jpg,84.0,10.0,536.0,10.0,84.0,461.0,536.0,461.0
transformed77.jpg,96.0,6.0,556.0,6.0,96.0,472.0,556.0,472.0
transformed78.jpg,203.56333399924696,186.4646099671154,525.7633339992469,186.4646099671154,203.56333399924696,457.6646099671154,525.7633339992469,457.6646099671154
transformed79.jpg,71.0,138.0,726.0,138.0,71.0,776.0,726.0,776.0
transformed80.jpg,359.2952401427494,176.2506474317017,839.8952401427493,176.2506474317017,359.2952401427494,659.8506474317016,839.8952401427493,659.8506474317016
transformed81.jpg,116.0,3.0,626.0,3.0,116.0,424.0,626.0,424.0
transformed82.jpg,237.86899172981225,39.45074121049704,495.2689917298122,39.45074121049704,237.86899172981225,293.25074121049704,495.2689917298122,293.25074121049704
transformed83.jpg,56.0,262.0,886.0,262.0,56.0,1085.0,886.0,1085.0
transformed84.jpg,108.0,17.0,621.0,17.0,108.0,443.0,621.0,443.0
transformed85.jpg,74.0,21.0,591.0,21.0,74.0,460.0,591.0,460.0
transformed86.jpg,57.15444350504083,2.9264048939738245,293.5544435050408,2.9264048939738245,57.15444350504083,244.1264048939738,293.5544435050408,244.1264048939738
transformed87.jpg,40.0,16.0,456.0,16.0,40.0,448.0,456.0,448.0
transformed88.jpg,81.0,5.0,535.0,5.0,81.0,454.0,535.0,454.0
transformed89.jpg,235.61591169291793,476.4866236378093,706.0159116929179,476.4866236378093,235.61591169291793,950.4866236378093,706.0159116929179,950.4866236378093
transformed90.jpg,361.9586312592579,485.18796132634685,774.758631259258,485.18796132634685,361.9586312592579,930.9879613263467,774.758631259258,930.9879613263467
transformed91.jpg,246.9700775997707,32.9281820020707,539.7700775997707,32.9281820020707,246.9700775997707,276.5281820020707,539.7700775997707,276.5281820020707
transformed92.jpg,365.66703186503827,565.7318574824807,848.6670318650383,565.7318574824807,365.66703186503827,1025.9318574824806,848.6670318650383,1025.9318574824806
transformed93.jpg,62.4745553238641,231.8762751769267,404.4745553238641,231.8762751769267,62.4745553238641,569.0762751769266,404.4745553238641,569.0762751769266
transformed94.jpg,250.48119204290987,53.471876958641815,549.8811920429098,53.471876958641815,250.48119204290987,302.4718769586418,549.8811920429098,302.4718769586418
transformed95.jpg,89.79002696398408,179.79741839105216,355.5900269639841,179.79741839105216,89.79002696398408,450.39741839105216,355.5900269639841,450.39741839105216
transformed96.jpg,126.0,3.0,574.0,3.0,126.0,454.0,574.0,454.0
transformed97.jpg,60.0,39.0,481.0,39.0,60.0,458.0,481.0,458.0
transformed98.jpg,131.0,0.0,584.0,0.0,131.0,468.0,584.0,468.0
transformed99.jpg,214.2282886586379,29.471945638523543,486.62828865863787,29.471945638523543,214.2282886586379,307.8719456385236,486.62828865863787,307.8719456385236
transformed100.jpg,12.0,24.0,451.0,24.0,12.0,463.0,451.0,463.0
transformed101.jpg,32.0,43.0,744.0,43.0,32.0,730.0,744.0,730.0
transformed102.jpg,65.0,325.0,753.0,325.0,65.0,1068.0,753.0,1068.0
transformed103.jpg,52.0,441.0,792.0,441.0,52.0,1177.0,792.0,1177.0
transformed104.jpg,297.34514492906976,55.46021981172281,570.9451449290698,55.46021981172281,297.34514492906976,329.06021981172285,570.9451449290698,329.06021981172285
transformed105.jpg,173.41724694377092,118.52456782053994,429.6172469437709,118.52456782053994,173.41724694377092,335.12456782053994,429.6172469437709,335.12456782053994
transformed106.jpg,254.28687050648853,156.00515178863438,580.6868705064885,156.00515178863438,254.28687050648853,430.2051517886344,580.6868705064885,430.2051517886344
transformed107.jpg,131.0,0.0,584.0,0.0,131.0,468.0,584.0,468.0
transformed108.jpg,200.15808017468578,52.767780998441125,438.95808017468573,52.767780998441125,200.15808017468578,295.76778099844114,438.95808017468573,295.76778099844114
transformed109.jpg,84.0,10.0,543.0,10.0,84.0,470.0,543.0,470.0
